g111	g112	g113	g121	g122	g123	g131	g132	g133	g14	g15	g211	g212	g213	g214	g215	g216	g217	g218	g219	g2110	g22	g23	g24	g25	g26	g3
3 4	2 3	3 4	6 9	4 6	1 2	3 4	1 2	4 7	1 2	0 0	7 10	22 22	40 40	89 89	4 4	48 48	7987 7987	19 19	5 5	5 5	3 4	2 3	2 3	0 1	1 2	132536 198804	
3 4	0 0	3 4	5 8	4 6	6 9	0 1	3 4	5 8	3 4	0 0	10 15	17 17	29 29	46 46	4 4	42 42	6127 6127	16 16	1 1	4 4	4 6	3 4	4 6	2 3	1 2	122205 183308	
0 0	3 4	0 0	1 2	4 7	2 3	3 4	2 3	1 2	0 1	1 1	24 36	9 9	21 21	63 63	2 2	47 47	5616 5616	19 19	2 2	4 4	3 4	4 6	3 4	0 1	4 6	320000 480000	
0 1	0 0	2 3	2 3	6 9	3 4	2 3	1 2	3 4	2 3	0 0	6 9	29 29	42 42	88 88	4 4	21 21	9905 9905	17 17	3 3	2 2	4 6	0 1	0 1	4 6	0 1	87475 131212	
3 4	2 3	0 0	8 12	6 9	4 7	4 6	3 4	4 6	2 3	1 1	16 24	38 38	72 72	137 137	7 7	27 27	14893 14893	14 14	5 5	5 5	2 3	2 3	4 6	0 1	2 3	209502 314253	
3 4	0 1	3 4	0 1	6 9	7 10	2 3	0 1	0 1	1 2	1 1	17 26	39 39	79 79	169 169	8 8	12 12	15008 15008	6 6	3 3	1 1	0 1	4 6	2 3	0 1	3 4	234004 351007	
0 0	3 4	0 0	4 6	4 7	3 4	2 3	0 1	3 4	0 1	1 1	16 25	18 18	41 41	98 98	5 5	25 25	8981 8981	6 6	4 4	2 2	0 1	2 3	0 1	1 2	2 3	183980 275971	
3 4	0 0	1 2	8 12	6 9	5 8	0 1	0 1	6 9	4 6	1 1	21 32	49 49	91 91	158 158	9 9	23 23	17551 17551	2 2	3 3	3 3	3 4	0 1	0 1	0 1	3 4	240348 360522	
0 1	3 4	3 4	2 3	6 9	8 12	1 2	0 0	0 1	1 2	1 1	15 22	21 21	35 35	61 61	4 4	47 47	7646 7646	1 1	2 2	5 5	3 4	4 6	0 1	2 3	2 3	210481 315722	
0 1	1 2	3 4	4 6	2 3	6 9	4 6	3 4	5 8	4 6	0 0	5 8	19 19	43 43	76 76	5 5	12 12	9402 9402	16 16	5 5	1 1	3 4	0 1	4 6	1 2	0 1	80000 120000	
0 0	2 3	1 2	6 9	3 4	6 9	3 4	0 1	4 7	1 2	0 0	6 9	14 14	37 37	86 86	3 3	43 43	6656 6656	15 15	1 1	2 2	1 2	2 3	4 6	2 3	0 1	80000 120000	
3 4	1 2	1 2	5 8	1 2	2 3	4 6	1 2	1 2	0 1	0 0	0 1	36 36	81 81	164 164	7 7	19 19	15738 15738	10 10	1 1	4 4	0 1	1 2	4 6	3 4	0 1	83803 125704	
3 4	3 4	2 3	0 1	6 9	1 2	0 1	2 3	2 3	1 2	1 1	16 24	35 35	79 79	164 164	7 7	26 26	14438 14438	7 7	2 2	4 4	2 3	3 4	0 1	2 3	2 3	171460 257191	
2 3	0 0	2 3	1 2	6 9	4 6	0 1	3 4	1 2	0 1	0 0	9 14	31 31	51 51	108 108	6 6	41 41	11550 11550	1 1	1 1	3 3	3 4	4 6	0 1	2 3	1 2	121612 182419	
0 0	3 4	3 4	1 2	7 10	5 8	0 1	3 4	6 9	2 3	1 1	14 21	20 20	45 45	94 94	4 4	30 30	8198 8198	11 11	2 2	4 4	4 6	0 1	1 2	4 6	2 3	196287 294430	
0 0	1 2	3 4	8 12	8 12	4 7	0 1	3 4	6 9	3 4	0 0	1 2	41 41	84 84	173 173	8 8	21 21	16352 16352	8 8	3 3	4 4	2 3	0 1	4 6	4 6	0 1	80180 120271	
2 3	0 0	0 0	4 6	1 2	8 12	2 3	1 2	3 4	2 3	0 0	4 7	43 43	86 86	172 172	9 9	36 36	16542 16542	10 10	5 5	1 1	4 6	1 2	3 4	0 1	0 1	90644 135967	
0 1	3 4	0 0	8 12	1 2	8 12	1 2	0 0	2 3	2 3	0 0	12 18	14 14	32 32	41 41	2 2	26 26	5447 5447	4 4	3 3	3 3	4 6	3 4	1 2	0 1	1 2	106729 160094	
3 4	0 0	1 2	0 1	3 4	8 12	0 1	1 2	1 2	4 6	1 1	12 18	0 0	10 10	13 13	1 1	17 17	1435 1435	18 18	2 2	5 5	0 1	2 3	4 6	1 2	2 3	184173 276260	
3 4	3 4	3 4	0 1	1 2	0 1	0 1	0 0	3 4	3 4	0 0	10 15	50 50	94 94	200 200	10 10	25 25	18832 18832	1 1	2 2	1 1	4 6	2 3	1 2	4 6	1 2	108884 163326	
0 0	0 1	1 2	8 12	4 7	2 3	1 2	2 3	3 4	1 2	1 1	24 36	32 32	49 49	111 111	6 6	19 19	11131 11131	6 6	2 2	5 5	1 2	3 4	0 1	4 6	4 6	309431 464146	
0 0	0 1	0 0	1 2	8 12	4 6	0 0	0 0	0 1	3 4	1 1	21 32	31 31	58 58	104 104	6 6	29 29	11931 11931	7 7	2 2	5 5	4 6	1 2	2 3	0 1	4 6	306893 460340	
3 4	2 3	0 0	4 7	4 6	7 10	1 2	0 1	5 8	2 3	1 1	20 31	13 13	38 38	43 43	3 3	49 49	6150 6150	19 19	5 5	1 1	4 6	2 3	0 1	1 2	4 6	319618 479427	
0 0	2 3	3 4	5 8	4 7	5 8	2 3	0 0	0 1	0 1	0 0	8 13	11 11	20 20	49 49	2 2	22 22	5438 5438	14 14	2 2	4 4	2 3	2 3	1 2	0 1	1 2	110768 166152	
1 2	0 1	2 3	3 4	1 2	2 3	3 4	3 4	4 7	2 3	1 1	15 22	31 31	67 67	120 120	6 6	17 17	13786 13786	6 6	3 3	1 1	1 2	1 2	1 2	4 6	2 3	169262 253893	
3 4	0 0	0 0	7 10	8 12	3 4	3 4	0 0	3 4	1 2	1 1	14 21	41 41	88 88	154 154	8 8	15 15	15984 15984	6 6	3 3	1 1	4 6	2 3	0 1	0 1	2 3	180962 271443	
0 0	3 4	2 3	1 2	3 4	8 12	2 3	3 4	4 6	3 4	1 1	15 22	43 43	82 82	175 175	8 8	27 27	16828 16828	18 18	5 5	2 2	3 4	1 2	4 6	3 4	2 3	218460 327690	
0 0	0 0	2 3	3 4	8 12	6 9	0 1	1 2	3 4	1 2	0 0	3 4	15 15	23 23	33 33	3 3	28 28	4357 4357	16 16	1 1	5 5	0 1	3 4	1 2	1 2	0 1	80000 120000	
0 1	2 3	3 4	8 12	1 2	1 2	1 2	0 1	0 1	3 4	0 0	8 12	5 5	10 10	24 24	1 1	49 49	2382 2382	12 12	2 2	5 5	3 4	3 4	2 3	4 6	0 1	80000 120000	
2 3	3 4	2 3	3 4	4 6	7 10	4 6	0 1	3 4	1 2	0 0	2 3	43 43	82 82	190 190	9 9	5 5	17499 17499	7 7	2 2	4 4	3 4	0 1	3 4	1 2	0 1	80000 120000	
2 3	0 1	2 3	6 9	2 3	8 12	0 1	1 2	4 6	3 4	1 1	16 25	19 19	36 36	57 57	3 3	43 43	6329 6329	14 14	2 2	4 4	3 4	3 4	0 1	1 2	3 4	286885 430328	
2 3	0 0	0 1	0 1	1 2	0 1	4 6	0 0	3 4	2 3	0 0	4 6	33 33	68 68	121 121	6 6	22 22	12803 12803	12 12	5 5	3 3	0 1	0 1	0 1	2 3	0 1	94698 142047	
0 0	1 2	1 2	1 2	6 9	4 6	3 4	1 2	3 4	0 1	0 0	8 13	29 29	56 56	105 105	5 5	33 33	11008 11008	14 14	1 1	4 4	4 6	1 2	4 6	0 1	1 2	101044 151566	
2 3	3 4	1 2	4 6	4 6	7 10	0 1	0 1	5 8	3 4	0 0	2 3	25 25	55 55	91 91	6 6	1 1	10674 10674	12 12	4 4	4 4	4 6	1 2	2 3	0 1	0 1	80000 120000	
1 2	2 3	0 0	2 3	6 9	1 2	4 6	3 4	4 6	3 4	1 1	13 20	34 34	56 56	119 119	7 7	47 47	12473 12473	8 8	5 5	4 4	4 6	4 6	1 2	0 1	2 3	189069 283604	
2 3	2 3	3 4	4 6	3 4	5 8	4 6	2 3	6 9	3 4	1 1	22 33	0 0	7 7	10 10	0 0	19 19	291 291	8 8	5 5	3 3	1 2	1 2	1 2	0 1	4 6	311908 467862	
0 0	0 0	2 3	7 10	7 10	4 7	0 0	3 4	5 8	1 2	0 0	2 3	41 41	75 75	170 170	9 9	45 45	16013 16013	19 19	3 3	5 5	0 1	1 2	1 2	1 2	0 1	80000 120000	
2 3	0 0	2 3	7 10	4 6	5 8	1 2	0 0	5 8	0 1	0 0	0 1	33 33	79 79	138 138	8 8	49 49	14215 14215	4 4	4 4	3 3	4 6	2 3	1 2	4 6	0 1	80000 120000	
2 3	1 2	0 0	1 2	4 7	3 4	0 1	2 3	5 8	3 4	1 1	20 30	24 24	42 42	108 108	5 5	40 40	8932 8932	6 6	1 1	5 5	2 3	3 4	3 4	2 3	3 4	248842 373263	
0 0	0 1	3 4	0 1	1 2	2 3	1 2	3 4	4 7	4 6	0 0	8 12	19 19	35 35	87 87	4 4	17 17	7381 7381	10 10	4 4	2 2	3 4	4 6	0 1	1 2	0 1	80000 120000	
2 3	2 3	0 1	2 3	7 10	2 3	0 0	3 4	2 3	3 4	1 1	15 22	33 33	82 82	137 137	8 8	7 7	15095 15095	19 19	5 5	2 2	2 3	2 3	2 3	1 2	2 3	221214 331821	
2 3	0 1	1 2	4 6	6 9	1 2	2 3	2 3	4 6	1 2	0 0	3 4	49 49	79 79	165 165	9 9	49 49	17690 17690	0 0	3 3	5 5	1 2	2 3	0 1	0 1	0 1	80000 120000	
0 0	2 3	3 4	0 1	7 10	4 7	2 3	2 3	2 3	0 1	0 0	7 10	30 30	73 73	116 116	6 6	23 23	12996 12996	7 7	5 5	5 5	4 6	2 3	1 2	0 1	1 2	103671 155506	
2 3	0 1	0 0	0 1	3 4	7 10	2 3	2 3	4 6	0 1	0 0	6 9	42 42	98 98	188 188	10 10	19 19	18109 18109	14 14	1 1	1 1	2 3	4 6	4 6	3 4	0 1	80000 120000	
1 2	3 4	3 4	1 2	4 7	5 8	4 6	0 0	4 7	3 4	1 1	21 32	36 36	69 69	141 141	8 8	38 38	15468 15468	7 7	2 2	1 1	3 4	3 4	2 3	4 6	4 6	320000 480000	
2 3	1 2	3 4	5 8	5 8	6 9	1 2	0 1	4 6	4 6	0 0	6 9	41 41	89 89	168 168	9 9	21 21	16252 16252	2 2	4 4	1 1	2 3	0 1	2 3	4 6	1 2	105708 158562	
1 2	2 3	0 0	3 4	3 4	4 7	1 2	3 4	2 3	1 2	1 1	21 32	7 7	32 32	32 32	2 2	32 32	4653 4653	16 16	1 1	1 1	2 3	4 6	1 2	4 6	3 4	227553 341330	
1 2	1 2	3 4	4 7	7 10	1 2	0 1	0 1	6 9	0 1	1 1	17 26	3 3	3 3	29 29	1 1	28 28	998 998	5 5	1 1	2 2	2 3	1 2	4 6	4 6	3 4	276201 414302	
3 4	1 2	1 2	4 6	6 9	7 10	1 2	1 2	1 2	1 2	1 1	21 32	34 34	62 62	147 147	8 8	34 34	14108 14108	17 17	2 2	5 5	0 1	3 4	4 6	4 6	4 6	320000 480000	
1 2	0 1	1 2	6 9	4 6	7 10	4 6	0 1	4 7	1 2	0 0	0 1	7 7	26 26	32 32	1 1	35 35	3660 3660	15 15	4 4	3 3	1 2	4 6	3 4	1 2	0 1	80000 120000	
3 4	1 2	0 1	4 7	6 9	5 8	2 3	3 4	4 6	2 3	1 1	21 32	28 28	58 58	108 108	5 5	19 19	11610 11610	19 19	5 5	3 3	2 3	3 4	2 3	2 3	3 4	233788 350682	
1 2	3 4	0 1	8 12	7 10	6 9	4 6	0 0	2 3	1 2	1 1	14 21	31 31	66 66	111 111	7 7	7 7	12884 12884	13 13	4 4	2 2	3 4	0 1	1 2	0 1	2 3	169890 254835	
1 2	2 3	2 3	4 7	1 2	2 3	4 6	1 2	1 2	3 4	0 0	8 12	32 32	71 71	136 136	6 6	35 35	13692 13692	5 5	3 3	2 2	3 4	4 6	4 6	1 2	0 1	80000 120000	
1 2	0 1	2 3	4 6	4 6	0 1	4 6	0 0	4 6	4 6	0 0	4 7	41 41	65 65	128 128	7 7	12 12	14517 14517	18 18	5 5	5 5	4 6	3 4	3 4	1 2	0 1	80000 120000	
0 0	1 2	1 2	5 8	6 9	0 1	3 4	1 2	1 2	0 1	1 1	14 21	28 28	63 63	116 116	5 5	12 12	11682 11682	16 16	3 3	1 1	4 6	2 3	3 4	4 6	2 3	218352 327528	
0 1	2 3	3 4	5 8	3 4	0 1	3 4	3 4	6 9	1 2	1 1	18 27	42 42	76 76	175 175	8 8	1 1	16325 16325	20 20	2 2	3 3	3 4	3 4	3 4	1 2	3 4	259595 389392	
2 3	1 2	0 0	7 10	6 9	3 4	0 1	1 2	4 6	1 2	1 1	18 27	18 18	38 38	110 110	5 5	22 22	9101 9101	15 15	1 1	5 5	1 2	3 4	0 1	4 6	3 4	256118 384177	
0 1	0 1	2 3	4 7	4 6	1 2	0 0	1 2	0 1	0 1	1 1	21 32	22 22	45 45	118 118	5 5	7 7	10108 10108	20 20	4 4	2 2	3 4	1 2	4 6	2 3	4 6	304298 456447	
0 0	0 0	0 1	4 6	2 3	0 1	4 6	2 3	5 8	1 2	0 0	1 2	43 43	78 78	186 186	8 8	5 5	16900 16900	2 2	4 4	2 2	3 4	2 3	0 1	2 3	0 1	80000 120000	
1 2	0 0	0 0	8 12	8 12	6 9	4 6	0 1	6 9	3 4	1 1	20 30	50 50	97 97	187 187	9 9	50 50	19071 19071	15 15	2 2	4 4	2 3	1 2	1 2	4 6	4 6	320000 480000	
3 4	1 2	1 2	3 4	1 2	3 4	2 3	0 0	0 1	2 3	1 1	20 30	49 49	91 91	191 191	9 9	23 23	18141 18141	16 16	3 3	2 2	2 3	3 4	4 6	2 3	3 4	227916 341875	
3 4	0 0	3 4	1 2	4 6	4 6	0 0	0 1	4 7	4 6	1 1	22 33	9 9	14 14	39 39	1 1	41 41	3506 3506	20 20	1 1	3 3	2 3	2 3	4 6	2 3	3 4	262099 393148	
1 2	3 4	0 1	7 10	1 2	8 12	0 1	3 4	5 8	4 6	1 1	12 18	43 43	94 94	190 190	9 9	35 35	18219 18219	17 17	4 4	1 1	3 4	2 3	0 1	3 4	2 3	222498 333747	
0 1	0 0	3 4	6 9	5 8	5 8	0 1	0 1	1 2	4 6	1 1	24 36	29 29	50 50	102 102	5 5	31 31	10556 10556	12 12	5 5	2 2	2 3	1 2	3 4	4 6	4 6	315327 472990	
2 3	1 2	3 4	5 8	5 8	4 7	3 4	0 1	4 7	4 6	1 1	12 19	6 6	15 15	10 10	1 1	6 6	1460 1460	1 1	3 3	3 3	4 6	4 6	1 2	0 1	2 3	185994 278991	
0 0	2 3	3 4	5 8	3 4	3 4	1 2	2 3	1 2	1 2	0 0	4 6	41 41	88 88	166 166	9 9	50 50	16472 16472	1 1	5 5	4 4	0 1	2 3	0 1	3 4	0 1	80000 120000	
0 0	2 3	1 2	4 7	2 3	4 6	0 1	0 1	3 4	3 4	1 1	18 27	43 43	82 82	159 159	8 8	45 45	17646 17646	15 15	5 5	2 2	2 3	1 2	0 1	4 6	3 4	232259 348388	
3 4	3 4	3 4	0 1	1 2	0 1	1 2	0 1	2 3	1 2	1 1	12 18	21 21	39 39	116 116	4 4	38 38	9602 9602	4 4	2 2	2 2	4 6	3 4	0 1	4 6	2 3	166304 249456	
3 4	3 4	0 1	3 4	4 7	7 10	2 3	0 0	4 7	4 6	0 0	5 8	42 42	85 85	195 195	8 8	43 43	17877 17877	13 13	3 3	1 1	3 4	0 1	1 2	0 1	0 1	80000 120000	
0 1	1 2	3 4	8 12	4 6	5 8	3 4	2 3	1 2	4 6	0 0	12 19	21 21	31 31	73 73	3 3	34 34	6598 6598	14 14	1 1	1 1	1 2	0 1	0 1	3 4	1 2	116940 175411	
0 1	0 0	1 2	8 12	8 12	4 7	0 1	0 0	3 4	3 4	1 1	23 34	16 16	30 30	78 78	4 4	39 39	7150 7150	0 0	1 1	1 1	2 3	4 6	0 1	4 6	4 6	300020 450031	
1 2	2 3	1 2	4 7	4 7	8 12	2 3	1 2	6 9	1 2	1 1	15 22	38 38	62 62	128 128	8 8	49 49	13985 13985	9 9	5 5	2 2	0 1	3 4	3 4	1 2	2 3	205698 308547	
0 0	0 0	0 0	6 9	4 7	4 7	4 6	0 1	2 3	2 3	1 1	23 34	17 17	38 38	68 68	3 3	49 49	7761 7761	11 11	1 1	4 4	1 2	4 6	2 3	4 6	4 6	320000 480000	
0 0	2 3	0 0	2 3	4 7	3 4	0 0	0 0	4 7	2 3	0 0	5 8	47 47	97 97	182 182	9 9	29 29	19866 19866	7 7	2 2	1 1	4 6	4 6	0 1	3 4	0 1	87800 131701	
3 4	2 3	0 0	2 3	2 3	8 12	3 4	2 3	4 6	2 3	0 0	6 9	13 13	35 35	75 75	4 4	42 42	6587 6587	7 7	1 1	1 1	2 3	0 1	3 4	4 6	1 2	128274 192411	
0 1	3 4	3 4	3 4	4 7	5 8	1 2	0 1	4 7	4 6	0 0	2 3	24 24	43 43	89 89	5 5	8 8	10422 10422	10 10	2 2	5 5	0 1	0 1	0 1	1 2	0 1	80000 120000	
0 1	0 1	1 2	8 12	6 9	3 4	4 6	0 1	3 4	3 4	0 0	7 10	0 0	2 2	15 15	0 0	47 47	41 41	7 7	3 3	1 1	0 1	0 1	0 1	0 1	1 2	140683 211024	
0 1	3 4	0 1	4 6	6 9	0 1	0 1	2 3	5 8	2 3	1 1	16 24	7 7	15 15	17 17	1 1	24 24	1616 1616	17 17	2 2	4 4	4 6	1 2	3 4	2 3	3 4	234766 352149	
1 2	3 4	0 1	5 8	5 8	8 12	3 4	0 1	5 8	4 6	0 0	4 6	13 13	11 11	52 52	2 2	18 18	3311 3311	15 15	1 1	2 2	4 6	2 3	1 2	4 6	0 1	80000 120000	
0 0	0 1	0 1	8 12	4 7	3 4	0 1	3 4	5 8	1 2	0 0	5 8	8 8	13 13	41 41	2 2	1 1	3215 3215	20 20	5 5	1 1	0 1	3 4	2 3	3 4	0 1	80838 121257	
0 0	0 0	2 3	4 6	6 9	0 1	0 1	0 1	4 6	1 2	0 0	3 4	41 41	88 88	200 200	9 9	10 10	18302 18302	9 9	1 1	5 5	1 2	3 4	4 6	4 6	0 1	80000 120000	
3 4	0 1	2 3	3 4	1 2	5 8	4 6	2 3	1 2	3 4	0 0	9 14	23 23	40 40	82 82	4 4	35 35	9888 9888	7 7	4 4	2 2	0 1	3 4	2 3	2 3	1 2	104801 157202	
2 3	3 4	0 0	0 1	5 8	3 4	4 6	0 1	0 1	4 6	1 1	22 33	19 19	45 45	107 107	5 5	7 7	8989 8989	3 3	4 4	2 2	3 4	2 3	4 6	0 1	4 6	319832 479749	
0 0	3 4	1 2	3 4	5 8	1 2	1 2	1 2	3 4	0 1	0 0	7 10	19 19	28 28	55 55	2 2	14 14	6372 6372	2 2	5 5	5 5	1 2	3 4	3 4	2 3	0 1	80000 120000	
1 2	2 3	2 3	0 1	3 4	4 7	0 0	3 4	6 9	2 3	0 0	4 6	30 30	62 62	115 115	5 5	25 25	10645 10645	0 0	4 4	4 4	3 4	3 4	2 3	2 3	0 1	80000 120000	
0 1	0 1	2 3	1 2	3 4	4 6	4 6	0 1	4 6	4 6	1 1	15 22	10 10	32 32	34 34	3 3	48 48	5381 5381	18 18	5 5	3 3	4 6	1 2	0 1	4 6	3 4	262796 394194	
1 2	0 1	3 4	4 6	2 3	1 2	2 3	0 0	6 9	4 6	0 0	3 4	15 15	39 39	51 51	4 4	25 25	6888 6888	20 20	4 4	3 3	2 3	1 2	1 2	1 2	0 1	80000 120000	
1 2	1 2	2 3	4 6	4 6	4 7	1 2	0 1	4 7	4 6	1 1	14 21	0 0	2 2	21 21	0 0	19 19	1470 1470	2 2	2 2	5 5	1 2	1 2	0 1	2 3	2 3	167827 251740	
0 0	1 2	2 3	4 6	7 10	0 1	0 0	1 2	5 8	2 3	0 0	1 2	2 2	8 8	10 10	1 1	14 14	520 520	7 7	1 1	4 4	1 2	3 4	4 6	1 2	0 1	80000 120000	
0 1	1 2	0 0	1 2	4 7	7 10	0 1	1 2	6 9	2 3	1 1	23 34	48 48	81 81	175 175	8 8	3 3	17434 17434	12 12	1 1	1 1	0 1	4 6	2 3	0 1	3 4	255935 383902	
1 2	1 2	1 2	4 6	4 7	4 7	3 4	1 2	1 2	1 2	1 1	24 36	18 18	54 54	98 98	4 4	21 21	9159 9159	11 11	2 2	2 2	0 1	3 4	1 2	1 2	4 6	320000 480000	
2 3	1 2	1 2	8 12	8 12	5 8	2 3	0 0	4 6	3 4	1 1	22 33	33 33	68 68	127 127	8 8	4 4	13860 13860	9 9	1 1	4 4	3 4	4 6	1 2	1 2	4 6	320000 480000	
0 1	0 0	0 0	3 4	6 9	7 10	0 1	1 2	3 4	4 6	0 0	8 13	29 29	54 54	124 124	5 5	19 19	12049 12049	4 4	2 2	1 1	2 3	4 6	0 1	1 2	1 2	114704 172056	
1 2	1 2	0 1	7 10	4 7	0 1	3 4	3 4	4 7	4 6	0 0	11 16	10 10	5 5	10 10	1 1	9 9	1934 1934	11 11	3 3	5 5	3 4	2 3	0 1	0 1	1 2	150308 225462	
3 4	2 3	2 3	3 4	4 6	4 6	4 6	2 3	4 6	3 4	0 0	6 9	8 8	8 8	21 21	2 2	5 5	1804 1804	13 13	4 4	5 5	3 4	0 1	0 1	1 2	0 1	80000 120000	
0 1	0 1	0 1	3 4	4 7	3 4	0 1	0 1	6 9	4 6	0 0	8 13	32 32	65 65	151 151	7 7	25 25	14400 14400	1 1	5 5	3 3	4 6	1 2	3 4	2 3	1 2	100788 151182	
2 3	0 0	1 2	0 1	5 8	4 6	0 1	0 0	0 1	3 4	0 0	4 7	11 11	16 16	52 52	2 2	28 28	4365 4365	0 0	5 5	4 4	4 6	1 2	4 6	4 6	0 1	80000 120000	
0 1	0 0	3 4	3 4	7 10	3 4	1 2	0 1	3 4	4 6	1 1	20 30	19 19	38 38	58 58	4 4	21 21	7022 7022	4 4	1 1	4 4	1 2	0 1	4 6	3 4	3 4	239406 359109	
1 2	0 1	0 0	4 7	2 3	4 7	0 0	0 1	4 7	1 2	0 0	5 8	13 13	12 12	52 52	3 3	10 10	3545 3545	8 8	1 1	1 1	2 3	1 2	4 6	4 6	0 1	93982 140973	
0 0	1 2	0 1	8 12	6 9	0 1	1 2	0 0	6 9	1 2	1 1	12 18	47 47	86 86	162 162	9 9	22 22	17256 17256	3 3	4 4	2 2	4 6	0 1	1 2	2 3	2 3	205720 308580	
2 3	3 4	2 3	5 8	8 12	2 3	0 0	1 2	4 7	0 1	0 0	5 8	4 4	12 12	16 16	1 1	32 32	3131 3131	13 13	3 3	5 5	0 1	4 6	3 4	1 2	0 1	89790 134685	
2 3	1 2	3 4	2 3	3 4	5 8	3 4	2 3	4 7	0 1	0 0	1 2	30 30	59 59	117 117	5 5	22 22	11520 11520	19 19	3 3	4 4	4 6	0 1	2 3	2 3	0 1	80000 120000	
0 1	1 2	0 1	4 6	2 3	6 9	0 1	1 2	3 4	2 3	0 0	6 9	5 5	7 7	26 26	2 2	41 41	1673 1673	2 2	4 4	5 5	4 6	2 3	3 4	0 1	1 2	156055 234082	
0 1	0 1	0 0	0 1	2 3	7 10	0 0	0 1	3 4	4 6	0 0	12 18	30 30	73 73	159 159	7 7	45 45	13931 13931	18 18	2 2	4 4	4 6	0 1	3 4	4 6	1 2	109327 163990	
2 3	2 3	3 4	5 8	7 10	2 3	0 0	2 3	4 7	4 6	1 1	17 26	34 34	63 63	138 138	6 6	41 41	12660 12660	3 3	3 3	5 5	4 6	0 1	4 6	2 3	3 4	256350 384525	
1 2	0 0	1 2	3 4	6 9	8 12	1 2	0 0	4 6	4 6	1 1	12 19	46 46	94 94	197 197	10 10	2 2	18706 18706	15 15	5 5	4 4	2 3	1 2	2 3	0 1	2 3	215124 322686	
2 3	0 0	3 4	3 4	4 7	3 4	0 1	1 2	0 1	2 3	1 1	21 32	37 37	62 62	142 142	7 7	24 24	13045 13045	15 15	2 2	4 4	3 4	3 4	0 1	4 6	3 4	277341 416012	
3 4	1 2	1 2	1 2	1 2	4 6	2 3	0 1	4 7	3 4	0 0	1 2	35 35	88 88	170 170	8 8	41 41	15923 15923	8 8	5 5	1 1	1 2	3 4	1 2	0 1	0 1	80000 120000	
2 3	0 0	2 3	3 4	7 10	8 12	4 6	0 0	4 7	1 2	0 0	9 14	21 21	39 39	66 66	3 3	41 41	6971 6971	2 2	5 5	3 3	2 3	4 6	3 4	4 6	1 2	115811 173716	
0 1	0 1	2 3	6 9	4 7	2 3	0 0	3 4	6 9	0 1	1 1	15 22	38 38	73 73	153 153	8 8	48 48	14926 14926	2 2	1 1	4 4	2 3	2 3	4 6	3 4	3 4	280858 421287	
0 0	3 4	0 1	1 2	7 10	1 2	0 0	0 0	5 8	4 6	0 0	6 9	49 49	90 90	188 188	9 9	1 1	19028 19028	5 5	3 3	3 3	1 2	3 4	0 1	1 2	1 2	110236 165354	
0 0	1 2	2 3	4 6	4 7	1 2	4 6	3 4	3 4	1 2	1 1	11 16	34 34	74 74	139 139	8 8	49 49	14251 14251	14 14	2 2	1 1	1 2	0 1	3 4	1 2	2 3	164383 246574	
0 0	2 3	2 3	6 9	4 6	2 3	3 4	1 2	2 3	4 6	0 0	2 3	50 50	96 96	200 200	9 9	28 28	19546 19546	9 9	3 3	5 5	0 1	0 1	1 2	4 6	0 1	80000 120000	
2 3	2 3	0 1	6 9	7 10	0 1	4 6	2 3	1 2	2 3	0 0	0 1	15 15	36 36	49 49	3 3	29 29	6472 6472	10 10	5 5	5 5	0 1	4 6	1 2	3 4	0 1	82399 123598	
2 3	3 4	0 1	4 6	6 9	5 8	0 1	1 2	4 6	3 4	1 1	16 24	3 3	4 4	21 21	1 1	4 4	2766 2766	13 13	2 2	3 3	1 2	2 3	1 2	2 3	2 3	177624 266437	
1 2	0 0	3 4	2 3	1 2	8 12	2 3	1 2	0 1	4 6	0 0	7 10	8 8	29 29	58 58	3 3	26 26	4580 4580	8 8	3 3	1 1	2 3	4 6	2 3	1 2	0 1	85483 128224	
0 0	3 4	0 0	6 9	6 9	4 7	1 2	2 3	2 3	4 6	0 0	7 10	12 12	23 23	46 46	2 2	3 3	3385 3385	10 10	5 5	3 3	1 2	0 1	2 3	4 6	0 1	80000 120000	
2 3	2 3	3 4	2 3	4 7	4 7	1 2	0 0	0 1	4 6	0 0	8 13	26 26	67 67	105 105	6 6	12 12	11642 11642	6 6	3 3	2 2	0 1	2 3	2 3	3 4	0 1	80000 120000	
2 3	1 2	3 4	8 12	3 4	5 8	0 0	0 1	6 9	3 4	0 0	8 12	10 10	31 31	28 28	1 1	4 4	4726 4726	0 0	2 2	5 5	4 6	2 3	4 6	3 4	1 2	156717 235076	
1 2	3 4	1 2	8 12	7 10	4 6	0 0	3 4	6 9	2 3	1 1	17 26	4 4	7 7	17 17	1 1	50 50	513 513	7 7	3 3	1 1	2 3	4 6	1 2	0 1	2 3	207197 310796	
2 3	0 0	1 2	8 12	6 9	1 2	0 0	3 4	3 4	0 1	1 1	21 32	20 20	33 33	58 58	4 4	15 15	6923 6923	1 1	5 5	1 1	0 1	4 6	2 3	0 1	4 6	320000 480000	
0 0	2 3	0 0	6 9	8 12	7 10	4 6	3 4	0 1	3 4	1 1	13 20	34 34	79 79	164 164	8 8	20 20	14954 14954	9 9	1 1	4 4	0 1	4 6	2 3	0 1	2 3	195421 293132	
0 0	0 1	0 1	1 2	6 9	6 9	3 4	2 3	0 1	2 3	0 0	3 4	38 38	74 74	161 161	9 9	11 11	16084 16084	6 6	2 2	2 2	3 4	0 1	2 3	4 6	0 1	80000 120000	
