g111	g112	g113	g121	g122	g123	g131	g132	g133	g14	g15	g211	g212	g213	g214	g215	g216	g217	g218	g219	g2110	g22	g23	g24	g25	g26	g3	
0 0	0 1	0 1	7 10	7 10	4 7	4 6	0 0	3 4	2 3	1	17 26	19	45	90	4	29	9219	7	3	2	1 2	1 2	2 3	4 6	3 4	243027 364540	
0 1	0 0	2 3	3 4	2 3	3 4	4 6	0 0	2 3	4 6	0	4 7	6	10	10	0	20	608	6	1	3	3 4	3 4	4 6	0 1	0 1	89461 134192	
2 3	1 2	3 4	8 12	3 4	5 8	4 6	2 3	1 2	0 1	0	5 8	5	25	17	2	23	3505	9	4	2	1 2	2 3	0 1	3 4	1 2	126655 189982	
0 1	0 0	3 4	5 8	6 9	6 9	4 6	0 0	3 4	4 6	1	12 18	12	33	74	2	30	5594	1	4	1	2 3	0 1	4 6	0 1	2 3	187276 280914	
3 4	2 3	0 1	3 4	2 3	7 10	4 6	0 1	1 2	0 1	1	20 30	11	37	60	2	39	6354	8	3	5	1 2	1 2	1 2	3 4	4 6	291560 437340	
2 3	0 1	0 0	4 7	6 9	1 2	0 0	3 4	3 4	0 1	1	16 25	3	13	35	1	22	2786	10	4	1	1 2	3 4	3 4	0 1	3 4	276924 415387	
3 4	0 0	1 2	4 6	1 2	4 6	3 4	1 2	0 1	4 6	0	4 6	0	2	10	0	28	80	17	4	4	2 3	3 4	2 3	4 6	0 1	80000 120000	
0 1	1 2	0 1	3 4	2 3	2 3	1 2	3 4	4 6	2 3	1	13 20	45	98	200	9	10	19550	5	2	5	3 4	1 2	4 6	0 1	2 3	167440 251161	
0 0	0 0	2 3	5 8	2 3	0 1	1 2	0 0	3 4	1 2	0	7 10	5	19	34	0	13	1884	14	4	4	2 3	0 1	2 3	2 3	0 1	80000 120000	
0 0	2 3	2 3	2 3	6 9	5 8	3 4	1 2	0 1	4 6	1	14 21	40	71	147	8	2	15374	8	3	4	3 4	4 6	1 2	2 3	2 3	195733 293600	
1 2	1 2	1 2	4 6	8 12	8 12	1 2	0 1	4 6	3 4	0	2 3	0	2	34	0	44	1459	5	5	3	4 6	4 6	4 6	3 4	0 1	80000 120000	
0 0	0 0	0 0	5 8	1 2	5 8	0 0	3 4	3 4	3 4	1	16 25	43	85	165	8	46	17254	4	3	5	1 2	0 1	1 2	0 1	2 3	184069 276104	
3 4	0 1	0 0	4 7	4 7	8 12	2 3	1 2	4 7	3 4	0	4 6	25	64	137	6	17	11724	3	1	2	4 6	0 1	1 2	0 1	0 1	80000 120000	
0 0	0 1	0 0	8 12	3 4	5 8	3 4	0 1	5 8	0 1	0	5 8	50	93	198	8	31	18529	20	1	4	0 1	4 6	4 6	3 4	0 1	89663 134494	
0 1	3 4	3 4	2 3	4 6	5 8	4 6	0 0	5 8	2 3	0	8 13	40	74	166	8	33	14726	11	4	5	2 3	4 6	1 2	2 3	1 2	140872 211308	
0 0	3 4	0 0	8 12	4 7	2 3	4 6	3 4	0 1	1 2	1	20 31	5	17	10	0	25	2497	12	4	4	4 6	3 4	1 2	4 6	4 6	320000 480000	
1 2	0 1	2 3	8 12	3 4	0 1	1 2	0 0	2 3	0 1	0	8 12	12	25	39	3	9	3761	2	3	2	3 4	1 2	3 4	0 1	0 1	80000 120000	
3 4	2 3	1 2	4 7	4 6	4 6	0 1	0 1	5 8	2 3	1	14 21	45	98	167	10	12	18412	4	2	1	2 3	2 3	1 2	1 2	2 3	207107 310660	
0 1	1 2	1 2	2 3	8 12	3 4	3 4	0 0	4 7	4 6	1	23 34	11	24	65	4	45	5873	8	3	4	0 1	4 6	0 1	4 6	4 6	320000 480000	
0 1	1 2	0 0	6 9	2 3	5 8	0 0	0 0	1 2	0 1	0	9 14	46	79	163	10	33	17413	16	1	2	0 1	4 6	4 6	3 4	1 2	130001 195002	
3 4	1 2	1 2	4 6	3 4	5 8	0 1	1 2	4 6	4 6	0	2 3	12	30	48	4	46	6159	2	3	5	2 3	4 6	4 6	1 2	0 1	80000 120000	
3 4	0 1	2 3	0 1	1 2	6 9	1 2	0 1	0 1	4 6	1	17 26	43	99	171	8	50	18007	8	2	5	0 1	4 6	1 2	0 1	3 4	287079 430618	
3 4	3 4	0 1	7 10	3 4	5 8	0 1	0 1	3 4	4 6	1	22 33	16	29	61	4	3	7407	14	4	4	1 2	4 6	2 3	4 6	4 6	320000 480000	
0 1	0 0	2 3	1 2	1 2	4 7	0 0	1 2	4 6	4 6	0	3 4	47	94	181	10	33	19734	4	4	5	2 3	2 3	1 2	3 4	0 1	80000 120000	
3 4	3 4	2 3	2 3	4 7	0 1	3 4	3 4	5 8	0 1	0	8 13	0	10	10	1	3	603	5	3	3	4 6	0 1	1 2	3 4	1 2	144520 216781	
0 1	1 2	3 4	0 1	8 12	0 1	4 6	1 2	3 4	3 4	0	4 6	12	36	41	2	26	5957	20	3	3	4 6	3 4	3 4	4 6	0 1	80000 120000	
2 3	3 4	0 0	6 9	3 4	3 4	0 0	2 3	5 8	0 1	1	17 26	36	82	158	7	1	15979	1	5	4	2 3	3 4	1 2	0 1	3 4	257486 386229	
3 4	0 1	0 0	5 8	7 10	1 2	0 0	1 2	6 9	2 3	0	6 9	5	22	51	1	38	3121	12	2	3	0 1	4 6	4 6	4 6	0 1	94325 141488	
3 4	0 0	1 2	7 10	5 8	2 3	4 6	3 4	6 9	0 1	1	20 31	42	99	183	10	11	18174	14	5	5	4 6	3 4	2 3	0 1	4 6	320000 480000	
0 1	1 2	1 2	1 2	8 12	8 12	1 2	1 2	6 9	2 3	0	1 2	24	36	87	5	50	8530	16	3	4	1 2	2 3	2 3	4 6	0 1	80000 120000	
2 3	0 0	0 1	2 3	7 10	4 6	0 0	1 2	5 8	1 2	0	0 1	35	66	131	6	38	13602	14	2	3	1 2	1 2	2 3	2 3	0 1	80000 120000	
0 0	0 0	0 0	7 10	8 12	8 12	3 4	0 0	4 7	4 6	1	22 33	31	57	98	5	10	11069	4	1	4	2 3	3 4	2 3	0 1	4 6	320000 480000	
0 0	0 0	0 0	7 10	7 10	8 12	3 4	0 1	3 4	4 6	1	22 33	19	28	54	4	6	6748	1	2	5	4 6	4 6	0 1	4 6	4 6	320000 480000	
0 1	0 0	0 1	4 7	3 4	3 4	1 2	0 0	5 8	1 2	1	11 16	25	58	92	5	10	10668	10	4	4	1 2	1 2	4 6	4 6	2 3	212038 318057	
0 0	2 3	0 0	8 12	8 12	6 9	0 0	3 4	4 6	4 6	1	20 31	28	51	79	5	28	9690	16	2	2	0 1	3 4	2 3	0 1	3 4	226926 340389	
2 3	2 3	0 1	0 1	2 3	8 12	1 2	1 2	3 4	1 2	1	15 22	37	74	152	7	34	15723	3	5	2	1 2	0 1	1 2	3 4	2 3	179978 269967	
0 0	1 2	0 1	4 7	2 3	4 7	3 4	0 0	4 7	4 6	1	22 33	18	33	73	2	6	5445	9	3	2	1 2	3 4	4 6	4 6	4 6	320000 480000	
0 0	0 1	0 1	6 9	4 7	0 1	0 1	2 3	0 1	4 6	0	2 3	41	85	177	8	8	16777	8	4	5	2 3	3 4	2 3	3 4	0 1	87935 131902	
1 2	3 4	0 1	5 8	4 6	0 1	0 0	3 4	4 7	1 2	1	20 30	9	31	62	3	34	5423	11	5	4	1 2	2 3	2 3	0 1	3 4	255664 383496	
1 2	1 2	3 4	7 10	8 12	4 7	0 1	2 3	5 8	3 4	0	13 20	22	40	61	5	20	7833	6	1	4	1 2	2 3	4 6	4 6	1 2	113374 170061	
1 2	0 1	0 0	7 10	3 4	0 1	0 0	0 0	6 9	1 2	1	19 28	9	18	37	1	14	1821	9	4	3	2 3	4 6	2 3	2 3	3 4	261042 391563	
1 2	3 4	1 2	6 9	1 2	4 6	3 4	0 1	4 7	4 6	0	8 13	25	61	131	6	25	11942	11	2	2	3 4	3 4	2 3	2 3	1 2	116456 174685	
0 1	0 1	0 1	1 2	1 2	5 8	3 4	1 2	0 1	4 6	0	3 4	38	72	181	8	20	16330	5	5	5	3 4	1 2	3 4	1 2	0 1	80000 120000	
2 3	0 1	0 0	8 12	1 2	7 10	4 6	2 3	2 3	2 3	0	7 10	42	88	200	10	14	18542	2	4	1	0 1	0 1	1 2	2 3	1 2	159139 238708	
1 2	2 3	1 2	5 8	8 12	4 7	0 0	1 2	1 2	0 1	0	9 14	11	13	19	1	23	3425	12	2	4	3 4	4 6	3 4	1 2	1 2	109015 163522	
1 2	2 3	2 3	5 8	7 10	6 9	1 2	3 4	4 6	3 4	0	7 10	9	26	65	3	30	4808	14	5	4	0 1	1 2	3 4	3 4	1 2	126118 189177	
1 2	0 0	3 4	3 4	7 10	6 9	0 1	0 1	3 4	0 1	1	14 21	3	6	42	0	12	2303	11	1	2	4 6	1 2	0 1	0 1	2 3	176412 264619	
1 2	0 0	0 1	2 3	7 10	6 9	0 0	2 3	1 2	0 1	0	4 7	41	74	143	8	23	15107	20	3	2	4 6	0 1	2 3	2 3	0 1	80000 120000	
1 2	0 0	2 3	1 2	6 9	0 1	4 6	0 0	1 2	0 1	1	17 26	13	24	39	2	43	3570	9	4	2	4 6	4 6	1 2	3 4	2 3	185667 278500	
1 2	2 3	0 1	3 4	4 6	6 9	2 3	0 1	2 3	4 6	1	18 27	10	3	38	1	9	1927	4	3	5	1 2	2 3	2 3	1 2	3 4	276115 414172	
2 3	0 1	0 1	6 9	8 12	6 9	2 3	3 4	0 1	2 3	1	16 24	1	16	10	2	5	1531	6	2	5	2 3	4 6	4 6	1 2	2 3	176424 264637	
0 0	0 0	0 1	5 8	4 6	7 10	2 3	3 4	2 3	3 4	1	16 25	9	33	65	3	42	5637	5	1	3	0 1	0 1	2 3	2 3	2 3	186047 279070	
1 2	0 0	0 0	6 9	7 10	4 7	0 1	0 0	3 4	2 3	0	2 3	15	40	56	3	31	7108	3	2	3	3 4	2 3	0 1	2 3	0 1	80000 120000	
3 4	2 3	0 0	7 10	8 12	5 8	1 2	2 3	0 1	0 1	0	4 6	50	93	179	10	50	19878	1	1	3	1 2	3 4	3 4	0 1	0 1	87309 130964	
3 4	1 2	0 0	1 2	1 2	3 4	1 2	3 4	4 7	0 1	1	12 18	40	66	161	8	43	14975	3	5	4	4 6	3 4	4 6	4 6	2 3	206412 309618	
1 2	0 1	2 3	7 10	4 6	7 10	3 4	1 2	4 6	0 1	0	9 14	10	19	44	2	29	5449	20	3	1	4 6	2 3	2 3	3 4	1 2	115224 172836	
0 0	0 0	0 0	4 6	8 12	1 2	2 3	3 4	2 3	1 2	0	10 15	20	54	93	5	46	9877	0	3	4	0 1	4 6	1 2	4 6	1 2	112611 168916	
3 4	3 4	3 4	0 1	1 2	0 1	2 3	2 3	5 8	2 3	1	22 33	19	19	49	3	47	5658	1	3	5	2 3	4 6	1 2	1 2	4 6	320000 480000	
0 0	2 3	0 1	4 7	5 8	1 2	0 1	0 0	4 6	2 3	1	14 21	11	21	46	1	29	2754	19	4	1	2 3	2 3	1 2	0 1	2 3	174181 261272	
0 0	3 4	0 1	1 2	4 7	3 4	0 1	2 3	0 1	4 6	1	15 22	11	16	26	3	50	3453	8	1	5	3 4	4 6	3 4	0 1	2 3	161350 242025	
1 2	2 3	0 0	4 6	7 10	6 9	4 6	0 1	5 8	1 2	0	1 2	31	59	141	7	26	12200	0	5	1	3 4	2 3	1 2	0 1	0 1	88822 133233	
2 3	1 2	2 3	6 9	2 3	6 9	2 3	3 4	2 3	0 1	1	19 28	8	7	29	0	15	1414	0	3	2	3 4	2 3	2 3	1 2	3 4	282785 424178	
3 4	2 3	0 0	1 2	8 12	8 12	1 2	1 2	6 9	0 1	1	12 18	6	21	25	2	40	3284	15	4	5	0 1	0 1	0 1	0 1	2 3	198600 297900	
0 1	0 1	0 1	0 1	1 2	7 10	0 0	0 0	0 1	3 4	0	5 8	8	17	37	1	34	2218	14	4	2	1 2	0 1	4 6	3 4	0 1	92248 138372	
2 3	0 1	3 4	4 7	2 3	7 10	0 0	0 1	4 6	3 4	1	19 28	13	31	46	3	9	5833	5	2	5	2 3	4 6	4 6	1 2	3 4	243649 365474	
0 0	2 3	1 2	6 9	6 9	8 12	0 0	3 4	4 6	2 3	1	15 22	9	28	66	3	47	5228	5	1	1	2 3	2 3	0 1	4 6	2 3	222263 333394	
2 3	1 2	2 3	3 4	4 7	5 8	0 1	2 3	2 3	3 4	0	8 13	6	2	10	0	29	692	19	5	3	1 2	4 6	4 6	1 2	1 2	108712 163069	
0 0	1 2	1 2	4 6	1 2	4 6	1 2	2 3	1 2	3 4	1	12 19	0	2	21	1	11	108	6	1	3	2 3	1 2	0 1	0 1	2 3	162039 243058	
0 0	2 3	1 2	5 8	8 12	7 10	0 0	2 3	0 1	1 2	1	12 18	30	72	117	7	25	12617	8	5	1	2 3	1 2	0 1	2 3	2 3	172643 258964	
0 0	1 2	2 3	8 12	8 12	4 6	2 3	3 4	5 8	0 1	0	5 8	43	99	167	9	33	17966	20	1	1	0 1	3 4	4 6	1 2	0 1	80000 120000	
2 3	2 3	3 4	7 10	4 7	8 12	0 0	3 4	1 2	3 4	1	14 21	25	43	106	5	7	10303	6	1	1	4 6	3 4	4 6	2 3	2 3	177444 266166	
0 1	0 0	2 3	4 7	4 6	6 9	0 0	0 1	4 6	1 2	0	8 12	29	66	112	6	31	12168	3	1	2	0 1	4 6	1 2	4 6	1 2	157079 235618	
2 3	0 1	2 3	6 9	4 6	4 7	2 3	0 0	0 1	2 3	0	3 4	13	26	77	4	14	6713	8	3	4	2 3	0 1	2 3	3 4	0 1	80000 120000	
0 1	0 1	0 0	4 6	2 3	4 6	1 2	0 0	4 6	3 4	0	2 3	32	59	130	5	16	11026	9	3	2	4 6	3 4	0 1	2 3	0 1	80000 120000	
0 0	3 4	0 0	2 3	7 10	5 8	2 3	2 3	4 6	4 6	1	15 22	22	43	69	5	15	7337	0	1	4	0 1	4 6	1 2	3 4	3 4	259012 388519	
1 2	2 3	0 0	6 9	8 12	2 3	1 2	0 0	4 7	0 1	1	14 21	16	21	40	4	16	5590	4	4	5	3 4	3 4	0 1	1 2	2 3	222833 334250	
1 2	2 3	1 2	4 6	1 2	0 1	3 4	0 0	2 3	3 4	0	13 20	14	25	43	2	20	5325	3	1	5	3 4	2 3	4 6	0 1	1 2	118314 177471	
0 0	2 3	3 4	4 6	3 4	7 10	3 4	3 4	3 4	0 1	0	8 13	13	35	63	3	7	5503	17	4	4	1 2	1 2	3 4	2 3	1 2	111568 167352	
0 1	2 3	0 1	5 8	2 3	6 9	2 3	0 0	4 7	0 1	1	12 19	30	44	102	5	14	10010	8	5	5	1 2	2 3	4 6	3 4	2 3	162448 243673	
3 4	2 3	0 0	4 6	5 8	1 2	1 2	2 3	5 8	3 4	0	8 13	11	19	43	2	20	4842	13	2	2	3 4	4 6	0 1	2 3	1 2	115672 173508	
0 0	0 1	3 4	0 1	2 3	1 2	0 0	1 2	2 3	1 2	0	2 3	26	55	119	6	30	10096	10	3	1	3 4	3 4	2 3	3 4	0 1	89023 133534	
0 0	0 0	3 4	4 6	6 9	4 7	2 3	2 3	6 9	3 4	1	20 30	44	89	185	8	38	17570	15	1	1	1 2	2 3	2 3	1 2	3 4	224240 336360	
0 1	0 0	0 0	8 12	7 10	0 1	0 1	2 3	5 8	0 1	0	11 16	42	76	168	9	2	16516	13	2	1	0 1	2 3	0 1	4 6	1 2	116406 174609	
0 0	3 4	2 3	3 4	1 2	4 6	2 3	1 2	4 7	1 2	0	1 2	23	44	110	6	41	10202	7	5	4	3 4	1 2	3 4	4 6	0 1	80000 120000	
1 2	3 4	3 4	3 4	5 8	0 1	1 2	3 4	3 4	1 2	0	5 8	7	18	10	2	22	1972	20	3	1	4 6	4 6	4 6	4 6	0 1	80000 120000	
0 0	0 1	0 1	5 8	4 7	8 12	0 1	1 2	1 2	2 3	1	18 27	9	25	48	2	30	4290	3	1	2	0 1	2 3	0 1	4 6	3 4	246172 369258	
2 3	0 0	3 4	1 2	4 6	6 9	2 3	1 2	6 9	2 3	1	16 25	48	90	200	10	37	19677	6	4	1	1 2	3 4	1 2	4 6	3 4	279945 419918	
2 3	0 1	0 0	8 12	4 6	8 12	0 0	2 3	6 9	2 3	1	13 20	42	76	172	9	40	16657	1	1	3	0 1	1 2	0 1	3 4	2 3	209451 314176	
1 2	0 1	1 2	2 3	6 9	4 6	4 6	0 1	1 2	1 2	1	12 19	8	13	40	3	46	4623	5	5	2	4 6	4 6	4 6	4 6	2 3	193529 290294	
1 2	0 1	0 0	4 6	1 2	8 12	0 0	0 1	4 6	3 4	1	21 32	23	39	89	6	39	9432	11	3	2	2 3	3 4	2 3	3 4	4 6	320000 480000	
0 0	0 0	0 1	4 6	4 7	4 6	4 6	0 0	5 8	0 1	0	7 10	33	60	151	6	15	13972	12	3	2	2 3	2 3	0 1	4 6	0 1	80000 120000	
0 1	1 2	2 3	0 1	4 7	4 6	1 2	3 4	5 8	3 4	1	14 21	47	87	159	8	41	17665	0	5	5	1 2	4 6	4 6	3 4	2 3	178232 267348	
0 1	2 3	3 4	4 6	5 8	7 10	0 0	0 0	2 3	0 1	0	1 2	26	53	105	4	4	9512	4	2	2	3 4	4 6	4 6	4 6	0 1	80000 120000	
2 3	0 1	1 2	3 4	6 9	4 6	2 3	0 1	5 8	0 1	0	1 2	23	46	116	6	48	9670	10	5	2	3 4	0 1	0 1	0 1	0 1	80000 120000	
0 1	3 4	2 3	6 9	6 9	0 1	2 3	0 1	3 4	3 4	0	9 14	10	29	50	3	13	5860	19	1	4	4 6	2 3	4 6	3 4	1 2	158831 238246	
2 3	0 0	0 1	5 8	4 6	2 3	1 2	3 4	0 1	4 6	0	4 7	3	9	18	2	7	2953	17	1	4	2 3	2 3	0 1	0 1	0 1	80000 120000	
2 3	0 0	0 0	7 10	1 2	8 12	3 4	0 0	4 6	3 4	1	18 27	21	44	91	4	2	8368	9	5	5	1 2	3 4	0 1	0 1	3 4	277904 416856	
2 3	0 0	0 0	6 9	6 9	2 3	0 1	3 4	4 7	3 4	1	20 31	36	69	153	7	47	14443	2	5	2	4 6	2 3	1 2	1 2	3 4	251927 377890	
1 2	0 0	0 0	4 7	4 6	0 1	0 0	2 3	0 1	4 6	0	10 15	40	69	137	8	5	15358	4	2	1	2 3	3 4	2 3	4 6	1 2	159696 239544	
0 0	3 4	1 2	3 4	3 4	4 6	2 3	2 3	4 6	2 3	1	14 21	21	30	92	4	15	7213	14	4	1	4 6	2 3	4 6	2 3	2 3	196888 295332	
3 4	1 2	2 3	2 3	4 7	4 6	4 6	0 1	1 2	0 1	0	0 1	22	39	93	5	30	7385	20	1	2	0 1	4 6	4 6	2 3	0 1	80000 120000	
0 1	1 2	0 0	3 4	6 9	5 8	4 6	0 0	4 6	2 3	0	11 16	15	41	82	4	3	7126	8	1	2	0 1	2 3	1 2	1 2	1 2	104784 157176	
1 2	1 2	0 1	7 10	8 12	1 2	2 3	0 1	0 1	4 6	1	15 22	16	38	75	2	37	6242	15	3	3	2 3	1 2	1 2	1 2	3 4	252193 378290	
2 3	1 2	0 1	0 1	7 10	4 6	1 2	0 1	5 8	3 4	0	4 6	15	34	80	3	41	7029	17	3	4	0 1	3 4	3 4	2 3	0 1	82140 123211	
0 0	2 3	2 3	0 1	2 3	3 4	3 4	1 2	0 1	3 4	0	5 8	16	33	62	4	30	7522	3	4	5	2 3	0 1	2 3	0 1	0 1	80000 120000	
1 2	0 0	3 4	6 9	7 10	0 1	1 2	3 4	4 6	1 2	0	2 3	47	91	180	8	43	17013	20	2	3	4 6	4 6	1 2	1 2	0 1	80000 120000	
2 3	3 4	0 1	4 6	4 6	1 2	4 6	1 2	4 7	3 4	0	6 9	42	75	159	8	2	16689	5	5	4	4 6	3 4	1 2	3 4	0 1	86665 129998	
1 2	2 3	2 3	4 6	1 2	2 3	4 6	0 1	1 2	1 2	1	15 22	21	52	117	5	13	9741	17	1	3	0 1	0 1	0 1	3 4	2 3	203456 305185	
2 3	0 1	0 1	2 3	4 7	8 12	4 6	3 4	5 8	4 6	1	12 19	8	4	22	1	3	1235	13	5	5	4 6	2 3	0 1	1 2	2 3	178405 267608	
0 1	2 3	0 0	2 3	3 4	4 7	3 4	0 0	0 1	4 6	0	1 2	10	14	52	1	47	3795	20	4	2	1 2	3 4	4 6	4 6	0 1	95046 142569	
1 2	3 4	0 1	8 12	2 3	7 10	0 0	3 4	3 4	3 4	0	7 10	21	40	92	5	41	8451	9	3	4	2 3	0 1	1 2	3 4	0 1	94151 141226	
3 4	0 1	1 2	4 7	6 9	0 1	0 1	0 0	4 7	1 2	0	11 16	5	9	29	1	8	1816	7	1	3	3 4	4 6	4 6	3 4	1 2	142642 213963	
0 0	2 3	2 3	5 8	7 10	6 9	0 0	0 0	4 7	0 1	0	8 13	2	17	14	2	31	1986	8	5	5	0 1	0 1	1 2	2 3	1 2	101661 152492	
0 0	1 2	1 2	5 8	4 6	0 1	1 2	3 4	4 7	3 4	0	8 13	34	61	150	7	10	13449	1	3	4	2 3	3 4	1 2	4 6	1 2	135200 202801	
1 2	0 0	1 2	3 4	2 3	4 7	0 1	3 4	2 3	1 2	0	8 13	29	61	108	6	46	11401	18	1	2	3 4	1 2	0 1	1 2	1 2	134751 202126	
0 0	1 2	1 2	5 8	4 7	2 3	0 1	2 3	2 3	3 4	1	22 33	38	61	145	7	37	13435	15	3	3	2 3	4 6	0 1	0 1	4 6	315824 473736	
0 0	0 1	0 0	4 6	3 4	8 12	0 1	0 0	6 9	0 1	1	11 16	22	45	60	3	9	7042	16	4	5	2 3	0 1	3 4	1 2	2 3	183610 275415	
2 3	0 1	1 2	5 8	2 3	3 4	3 4	0 1	5 8	0 1	1	17 26	24	48	130	6	2	11488	8	2	5	0 1	4 6	1 2	4 6	2 3	185608 278413	
1 2	0 1	0 1	3 4	2 3	2 3	4 6	2 3	0 1	3 4	1	20 31	2	6	10	1	3	436	1	5	3	1 2	2 3	2 3	3 4	4 6	320000 480000	
1 2	1 2	0 0	2 3	6 9	4 7	1 2	3 4	2 3	1 2	0	8 13	24	48	94	5	39	10921	11	3	1	4 6	2 3	4 6	2 3	1 2	135236 202855	
0 0	1 2	0 0	6 9	2 3	7 10	4 6	0 0	4 6	3 4	0	2 3	17	41	58	3	31	7123	3	3	1	2 3	2 3	1 2	3 4	0 1	80000 120000	
3 4	1 2	0 0	5 8	3 4	4 7	4 6	1 2	1 2	4 6	0	4 6	20	40	72	3	39	7189	0	1	4	2 3	2 3	2 3	0 1	0 1	80000 120000	
1 2	0 0	0 0	3 4	7 10	4 7	4 6	0 0	0 1	3 4	0	9 14	25	52	98	5	6	11039	18	1	2	3 4	0 1	1 2	2 3	1 2	98340 147510	
0 1	3 4	0 0	4 7	7 10	6 9	0 0	0 1	2 3	2 3	0	7 10	6	22	19	2	14	2662	15	4	4	1 2	4 6	2 3	4 6	1 2	147892 221838	
3 4	0 0	0 0	5 8	5 8	4 6	0 0	0 1	0 1	0 1	0	7 10	21	39	80	4	3	9546	16	1	4	0 1	4 6	1 2	4 6	0 1	87128 130693	
3 4	0 1	0 0	7 10	3 4	2 3	1 2	1 2	0 1	3 4	0	2 3	28	58	97	6	4	10536	0	4	1	4 6	1 2	3 4	2 3	0 1	80000 120000	
0 0	2 3	2 3	7 10	5 8	4 6	1 2	1 2	0 1	0 1	1	24 36	20	43	71	4	14	7978	16	3	1	1 2	4 6	4 6	4 6	4 6	289792 434689	
0 0	1 2	2 3	4 6	5 8	4 7	3 4	2 3	3 4	2 3	1	22 33	28	56	136	6	4	11930	12	2	3	0 1	4 6	0 1	1 2	4 6	320000 480000	
2 3	2 3	3 4	7 10	4 6	0 1	3 4	2 3	0 1	0 1	0	6 9	24	58	99	6	33	11101	5	4	4	0 1	2 3	0 1	0 1	0 1	87838 131757	
0 0	0 0	0 1	7 10	8 12	4 7	4 6	0 0	0 1	4 6	0	9 14	26	54	117	6	26	12133	2	4	4	1 2	0 1	0 1	4 6	1 2	112930 169395	
1 2	0 0	2 3	3 4	6 9	3 4	3 4	0 0	0 1	3 4	0	1 2	21	43	73	3	31	6736	2	2	2	3 4	4 6	1 2	0 1	0 1	80000 120000	
3 4	0 1	1 2	4 6	1 2	0 1	0 0	1 2	5 8	2 3	1	16 24	31	62	101	5	16	10413	12	4	1	1 2	1 2	2 3	0 1	2 3	160779 241168	
3 4	2 3	0 0	6 9	1 2	6 9	3 4	3 4	4 6	1 2	0	0 1	24	40	96	5	6	9124	12	2	4	3 4	2 3	4 6	4 6	0 1	91576 137364	
3 4	2 3	0 1	1 2	2 3	5 8	2 3	0 1	4 6	1 2	0	7 10	25	43	79	5	4	9821	19	2	1	3 4	4 6	4 6	3 4	1 2	109011 163516	
3 4	0 1	0 0	6 9	3 4	0 1	4 6	0 0	2 3	2 3	0	5 8	29	43	79	4	26	9822	9	3	4	2 3	2 3	4 6	0 1	0 1	80000 120000	
0 1	2 3	2 3	5 8	4 6	7 10	0 1	3 4	1 2	4 6	1	20 31	9	14	47	2	49	2681	14	5	3	0 1	0 1	2 3	2 3	3 4	241654 362481	
3 4	3 4	2 3	5 8	5 8	0 1	3 4	1 2	6 9	1 2	0	10 15	0	9	10	0	4	735	6	3	4	0 1	2 3	0 1	0 1	1 2	106558 159837	
2 3	3 4	0 0	2 3	6 9	7 10	1 2	0 1	1 2	0 1	0	1 2	23	46	76	4	39	8044	7	1	2	3 4	4 6	4 6	1 2	0 1	80000 120000	
3 4	1 2	3 4	0 1	5 8	1 2	0 0	0 1	2 3	2 3	0	8 13	39	75	129	8	36	13812	3	1	3	2 3	4 6	2 3	1 2	1 2	106201 159302	
1 2	0 0	2 3	4 7	8 12	6 9	1 2	2 3	4 7	1 2	0	12 18	32	65	129	7	38	12575	10	3	1	4 6	1 2	0 1	1 2	1 2	159796 239695	
3 4	2 3	2 3	6 9	4 6	1 2	0 0	2 3	2 3	1 2	0	11 16	28	50	94	6	23	9918	0	2	1	1 2	1 2	4 6	0 1	1 2	154217 231326	
1 2	1 2	0 0	6 9	7 10	5 8	0 1	1 2	2 3	4 6	0	0 1	36	86	150	8	31	15436	16	4	4	2 3	2 3	2 3	0 1	0 1	88442 132663	
0 1	3 4	2 3	4 6	4 6	5 8	0 1	3 4	6 9	3 4	0	4 7	50	100	200	10	38	19466	13	5	3	1 2	3 4	1 2	0 1	0 1	80000 120000	
2 3	1 2	3 4	6 9	4 6	2 3	2 3	0 1	6 9	2 3	0	8 12	44	87	186	10	4	18113	11	3	2	1 2	3 4	4 6	2 3	1 2	147287 220930	
3 4	2 3	3 4	1 2	6 9	5 8	0 0	2 3	4 7	0 1	1	13 20	24	33	101	4	6	8198	4	3	5	0 1	0 1	3 4	4 6	2 3	165576 248364	
2 3	2 3	3 4	7 10	3 4	1 2	2 3	1 2	6 9	3 4	0	2 3	42	97	189	8	3	18365	7	1	5	1 2	0 1	2 3	4 6	0 1	91556 137335	
1 2	0 1	1 2	2 3	8 12	1 2	2 3	3 4	5 8	0 1	1	13 20	17	37	55	3	25	6370	10	2	3	3 4	2 3	2 3	0 1	2 3	216092 324138	
3 4	3 4	3 4	0 1	1 2	0 1	2 3	1 2	4 6	1 2	0	9 14	32	66	133	6	7	13164	6	3	5	2 3	1 2	2 3	2 3	1 2	149108 223663	
3 4	0 1	2 3	6 9	4 7	7 10	3 4	0 1	1 2	3 4	1	14 21	15	18	29	2	19	4825	19	3	2	0 1	0 1	4 6	3 4	2 3	183366 275049	
3 4	2 3	3 4	4 7	4 7	7 10	3 4	2 3	4 7	3 4	1	16 24	49	100	172	9	30	19109	20	1	5	3 4	0 1	2 3	0 1	2 3	184499 276748	
3 4	2 3	0 1	2 3	8 12	4 7	4 6	3 4	1 2	3 4	0	6 9	18	26	44	2	31	5835	5	3	5	3 4	4 6	3 4	3 4	0 1	80000 120000	
