g111	g112	g113	g121	g122	g123	g131	g132	g133	g14	g15	g211	g212	g213	g214	g215	g216	g217	g218	g219	g2110	g22	g23	g24	g25	g26	g3	
0 0	1 2	1 2	6 9	4 6	5 8	3 4	1 2	2 3	1 2	1	13 20	30	57	105	7	36	11193	13	3	4	0 1	0 1	3 4	4 6	2 3	161697 242546	
0 0	3 4	0 1	8 12	6 9	2 3	1 2	2 3	6 9	1 2	1	24 36	6	15	28	2	21	3077	15	1	5	3 4	1 2	0 1	4 6	4 6	310966 466449	
1 2	2 3	1 2	8 12	7 10	3 4	1 2	0 0	4 6	1 2	1	15 22	21	36	75	5	2	8707	9	1	1	3 4	0 1	4 6	1 2	2 3	216877 325316	
1 2	3 4	0 0	4 6	3 4	4 6	3 4	0 0	0 1	2 3	1	20 31	30	62	133	6	39	12916	5	4	1	2 3	1 2	0 1	4 6	3 4	265529 398294	
1 2	1 2	1 2	4 6	8 12	1 2	1 2	3 4	3 4	3 4	1	22 33	16	25	45	4	44	5786	3	1	3	3 4	3 4	3 4	0 1	4 6	302048 453072	
3 4	3 4	1 2	1 2	8 12	7 10	0 1	3 4	4 6	2 3	1	19 28	38	75	141	7	10	15501	17	1	2	2 3	2 3	4 6	4 6	3 4	282736 424104	
0 0	2 3	1 2	5 8	4 7	1 2	0 1	2 3	4 6	4 6	1	21 32	19	45	74	3	3	7512	13	5	4	0 1	0 1	4 6	0 1	3 4	248675 373012	
1 2	3 4	0 0	8 12	6 9	2 3	3 4	2 3	5 8	1 2	1	23 34	40	80	145	9	11	16306	13	3	5	3 4	1 2	4 6	0 1	4 6	310772 466158	
0 1	2 3	1 2	2 3	7 10	3 4	0 0	0 1	4 6	2 3	0	4 7	34	71	131	6	41	12394	6	2	5	1 2	0 1	3 4	0 1	0 1	86764 130146	
3 4	2 3	0 1	7 10	3 4	8 12	3 4	0 0	4 6	2 3	1	14 21	34	67	163	8	4	15247	19	2	3	0 1	2 3	4 6	3 4	2 3	223417 335126	
2 3	0 0	2 3	1 2	3 4	6 9	3 4	3 4	2 3	4 6	1	16 25	47	84	169	8	9	18407	5	5	1	0 1	1 2	3 4	3 4	2 3	221689 332534	
1 2	0 1	3 4	0 1	4 7	5 8	2 3	0 1	3 4	4 6	1	14 21	46	92	200	10	27	19666	14	4	3	0 1	0 1	4 6	4 6	2 3	183241 274862	
3 4	0 0	0 0	7 10	8 12	1 2	0 1	0 0	0 1	0 1	1	17 26	31	48	123	5	5	10694	17	2	3	1 2	1 2	0 1	4 6	3 4	250328 375492	
1 2	1 2	0 1	4 6	8 12	6 9	0 0	2 3	6 9	1 2	0	10 15	38	82	156	9	19	15444	19	1	4	0 1	1 2	4 6	3 4	1 2	129420 194131	
0 0	3 4	0 1	1 2	6 9	1 2	4 6	3 4	6 9	4 6	1	20 31	29	53	113	5	5	12004	1	3	1	4 6	1 2	4 6	3 4	4 6	311645 467468	
2 3	0 0	0 0	4 6	7 10	7 10	2 3	0 1	4 6	4 6	1	17 26	44	98	174	9	38	18662	3	4	3	3 4	1 2	2 3	1 2	3 4	237884 356826	
3 4	0 1	2 3	5 8	5 8	1 2	0 1	0 0	4 7	0 1	1	16 25	35	72	147	6	12	13428	20	3	1	1 2	0 1	4 6	4 6	3 4	278903 418354	
2 3	0 1	2 3	3 4	6 9	4 7	0 1	0 0	6 9	2 3	1	14 21	35	75	152	7	45	14057	2	4	1	0 1	0 1	3 4	1 2	2 3	219422 329133	
3 4	1 2	0 0	7 10	3 4	5 8	2 3	0 0	2 3	3 4	0	8 12	44	85	166	10	24	17519	4	3	3	3 4	1 2	4 6	1 2	0 1	80000 120000	
3 4	3 4	0 1	1 2	7 10	8 12	0 0	0 0	4 6	3 4	0	0 1	34	68	156	7	45	14105	15	1	2	4 6	4 6	3 4	4 6	0 1	80000 120000	
0 0	2 3	0 0	7 10	7 10	4 7	0 1	0 0	5 8	3 4	0	4 6	42	69	155	8	23	15463	18	3	4	0 1	2 3	4 6	2 3	0 1	80000 120000	
0 0	1 2	3 4	2 3	1 2	7 10	1 2	2 3	3 4	1 2	0	4 6	20	36	91	3	19	7385	19	1	5	3 4	0 1	3 4	1 2	0 1	80000 120000	
3 4	2 3	3 4	7 10	2 3	8 12	3 4	0 1	1 2	3 4	0	12 18	46	94	189	10	48	19703	5	5	3	4 6	0 1	4 6	0 1	1 2	124363 186544	
2 3	2 3	0 1	8 12	8 12	0 1	0 1	3 4	0 1	3 4	0	2 3	39	65	148	6	43	13898	16	4	1	2 3	0 1	3 4	1 2	0 1	89015 133522	
1 2	2 3	0 1	5 8	3 4	1 2	0 0	1 2	6 9	2 3	1	19 28	15	45	69	4	31	7244	14	5	3	0 1	4 6	4 6	3 4	3 4	276701 415052	
0 1	3 4	0 1	6 9	1 2	0 1	0 0	1 2	1 2	4 6	1	20 31	3	12	17	1	38	1886	12	3	5	1 2	0 1	3 4	1 2	3 4	224992 337488	
1 2	0 0	2 3	8 12	7 10	2 3	0 0	1 2	2 3	3 4	1	23 34	29	47	107	5	11	10113	7	3	3	4 6	4 6	3 4	2 3	3 4	276033 414050	
3 4	0 1	1 2	2 3	4 7	3 4	1 2	0 0	2 3	2 3	1	18 27	15	34	37	3	15	4902	1	4	5	3 4	4 6	3 4	2 3	3 4	261420 392130	
3 4	0 1	0 0	6 9	4 7	3 4	4 6	1 2	6 9	3 4	0	8 13	40	87	166	8	48	16255	8	4	5	4 6	1 2	4 6	1 2	1 2	135638 203457	
3 4	0 1	0 0	7 10	3 4	2 3	0 0	1 2	3 4	2 3	0	4 7	23	59	94	5	26	10950	16	3	4	4 6	1 2	1 2	4 6	0 1	80000 120000	
1 2	3 4	1 2	1 2	7 10	4 7	2 3	3 4	4 7	0 1	1	19 28	31	62	112	5	38	10652	19	2	1	1 2	4 6	3 4	4 6	3 4	256358 384537	
0 1	0 1	3 4	2 3	3 4	0 1	4 6	1 2	3 4	4 6	1	16 24	38	71	140	8	49	14362	18	4	1	4 6	3 4	0 1	3 4	3 4	263217 394826	
0 0	2 3	2 3	0 1	4 7	6 9	1 2	1 2	5 8	4 6	0	9 14	17	32	38	3	7	5610	18	2	4	4 6	0 1	3 4	3 4	1 2	119040 178561	
0 0	0 0	1 2	4 7	2 3	2 3	4 6	1 2	5 8	2 3	1	16 24	38	81	161	8	40	15395	6	1	3	2 3	1 2	4 6	1 2	2 3	179973 269960	
2 3	1 2	2 3	4 6	5 8	5 8	1 2	3 4	1 2	2 3	1	24 36	46	89	200	9	40	18441	12	4	5	2 3	1 2	2 3	3 4	4 6	320000 480000	
3 4	3 4	2 3	2 3	6 9	8 12	1 2	0 1	6 9	4 6	1	21 32	39	81	146	8	36	15776	17	2	1	2 3	1 2	1 2	1 2	3 4	279695 419542	
1 2	3 4	0 1	2 3	8 12	3 4	1 2	0 0	4 6	0 1	0	8 13	18	35	68	3	27	7845	14	4	4	3 4	2 3	3 4	3 4	1 2	127781 191672	
1 2	0 0	0 1	4 7	3 4	0 1	4 6	2 3	6 9	2 3	1	14 21	37	77	131	7	49	13451	11	3	5	3 4	2 3	4 6	4 6	2 3	205783 308674	
3 4	3 4	0 1	5 8	4 6	3 4	0 0	0 1	3 4	2 3	1	24 36	45	82	165	8	39	17233	11	1	1	1 2	1 2	2 3	1 2	4 6	320000 480000	
0 0	1 2	1 2	4 7	6 9	7 10	0 1	0 1	1 2	3 4	0	3 4	42	91	156	8	3	16524	12	5	3	2 3	1 2	4 6	2 3	0 1	80000 120000	
0 1	2 3	0 1	4 7	6 9	8 12	3 4	2 3	6 9	0 1	1	22 33	46	81	166	9	29	17286	18	5	3	1 2	1 2	2 3	0 1	3 4	224607 336910	
0 1	2 3	1 2	3 4	3 4	5 8	0 1	3 4	1 2	0 1	1	18 27	30	70	145	8	22	13366	14	2	4	1 2	4 6	4 6	4 6	3 4	269424 404136	
3 4	0 0	0 0	4 7	3 4	1 2	1 2	3 4	5 8	1 2	0	6 9	31	58	126	6	23	10909	8	5	4	3 4	0 1	2 3	3 4	0 1	80000 120000	
3 4	0 0	1 2	0 1	4 7	5 8	2 3	0 1	5 8	3 4	1	16 24	21	45	95	4	19	8491	18	2	4	3 4	4 6	3 4	1 2	3 4	231546 347319	
0 0	2 3	1 2	2 3	8 12	4 7	4 6	3 4	5 8	0 1	1	22 33	29	52	123	6	16	11300	18	1	2	2 3	3 4	4 6	4 6	4 6	298464 447697	
0 1	2 3	3 4	6 9	8 12	3 4	3 4	0 0	5 8	3 4	1	14 21	39	71	141	9	23	15888	5	1	1	1 2	2 3	4 6	3 4	2 3	213465 320198	
3 4	0 0	0 0	7 10	3 4	1 2	4 6	1 2	1 2	1 2	1	16 24	11	11	36	1	35	3893	14	2	1	2 3	0 1	4 6	2 3	3 4	276295 414442	
0 0	0 1	2 3	5 8	1 2	5 8	2 3	1 2	3 4	2 3	0	12 18	50	100	188	9	41	19063	17	2	1	4 6	1 2	4 6	2 3	1 2	103695 155542	
0 0	2 3	0 1	7 10	2 3	5 8	2 3	3 4	0 1	1 2	0	9 14	36	74	159	7	27	15655	12	2	5	4 6	0 1	0 1	4 6	1 2	146083 219124	
1 2	0 1	0 1	5 8	4 7	0 1	0 0	0 1	0 1	4 6	1	19 28	42	80	149	9	31	16631	5	2	5	2 3	1 2	0 1	4 6	3 4	278456 417684	
2 3	0 1	0 1	3 4	6 9	6 9	3 4	3 4	2 3	0 1	0	11 16	27	58	112	7	33	12304	12	1	4	4 6	1 2	3 4	3 4	1 2	110301 165452	
0 0	1 2	2 3	0 1	6 9	5 8	4 6	1 2	0 1	4 6	0	7 10	42	95	189	8	5	18080	10	4	1	4 6	1 2	3 4	3 4	0 1	92425 138638	
0 0	3 4	1 2	4 7	7 10	4 7	2 3	0 1	2 3	4 6	1	20 31	32	66	147	6	38	12774	18	3	4	2 3	2 3	3 4	2 3	3 4	285268 427903	
0 1	3 4	1 2	5 8	6 9	3 4	0 0	3 4	2 3	2 3	1	20 31	40	87	171	7	29	15763	0	2	5	1 2	2 3	2 3	2 3	4 6	315443 473164	
3 4	1 2	0 1	1 2	4 6	7 10	4 6	0 0	4 6	1 2	1	20 30	31	74	121	6	30	12918	11	1	2	0 1	1 2	0 1	1 2	3 4	235966 353949	
1 2	1 2	2 3	8 12	4 7	4 6	1 2	3 4	0 1	0 1	1	22 33	45	100	180	10	13	18995	1	3	5	1 2	0 1	2 3	0 1	4 6	320000 480000	
0 1	2 3	2 3	4 6	4 7	1 2	1 2	1 2	1 2	4 6	0	6 9	30	68	141	6	23	12650	5	4	1	3 4	1 2	3 4	0 1	0 1	80000 120000	
0 0	1 2	3 4	7 10	2 3	8 12	1 2	2 3	3 4	2 3	1	18 27	6	13	32	2	25	1282	12	3	4	4 6	0 1	2 3	3 4	3 4	239464 359197	
3 4	3 4	0 1	6 9	5 8	1 2	0 1	1 2	4 7	2 3	1	21 32	46	89	176	9	45	18010	1	1	1	4 6	0 1	1 2	0 1	4 6	320000 480000	
2 3	1 2	3 4	7 10	3 4	4 6	2 3	0 0	1 2	1 2	1	19 28	22	34	73	5	9	7911	5	5	4	4 6	3 4	4 6	4 6	3 4	225266 337899	
1 2	0 1	1 2	5 8	3 4	0 1	2 3	3 4	4 7	1 2	0	8 13	39	91	144	9	47	16133	19	1	4	3 4	2 3	3 4	3 4	1 2	126040 189061	
1 2	0 1	3 4	3 4	1 2	8 12	4 6	0 0	0 1	0 1	0	11 16	45	77	178	8	18	16065	8	5	2	3 4	1 2	4 6	3 4	1 2	147250 220875	
0 0	3 4	0 1	0 1	8 12	1 2	0 1	0 0	0 1	3 4	1	19 28	34	79	163	8	29	14390	7	3	4	3 4	2 3	4 6	4 6	3 4	254626 381939	
2 3	3 4	1 2	5 8	3 4	3 4	1 2	1 2	4 6	3 4	1	17 26	47	94	173	10	20	18860	3	3	1	0 1	0 1	4 6	3 4	3 4	272791 409186	
2 3	1 2	3 4	3 4	7 10	8 12	1 2	2 3	3 4	2 3	1	20 30	31	69	141	6	29	13516	5	2	1	1 2	1 2	1 2	1 2	3 4	271604 407407	
